,2mem_BtCv_12pt5hr-1,2mem_BtCv_12pt5hr-2,2mem_BtCv_12pt5hr-3,2mem_BtCv_12pt5hr-4,2mem_BtCv_25hr-1,2mem_BtCv_25hr-2,2mem_BtCv_25hr-3,2mem_BtCv_25hr-4,2mem_BtCv_30hr-1,2mem_BtCv_30hr-2,2mem_BtCv_30hr-3,2mem_BtCv_30hr-4,2mem_BtCv_35hr-1,2mem_BtCv_35hr-2,2mem_BtCv_35hr-3,2mem_BtCv_35hr-4,2mem_BtCv_40hr-1,2mem_BtCv_40hr-2,2mem_BtCv_40hr-3,2mem_BtCv_40hr-4,2mem_BtCv_45hr-1,2mem_BtCv_45hr-2,2mem_BtCv_45hr-3,2mem_BtCv_45hr-4,2mem_BtPs_12pt5hr-1,2mem_BtPs_12pt5hr-2,2mem_BtPs_12pt5hr-3,2mem_BtPs_12pt5hr-4,2mem_BtPs_25hr-1,2mem_BtPs_25hr-2,2mem_BtPs_25hr-3,2mem_BtPs_25hr-4,2mem_BtPs_30hr-1,2mem_BtPs_30hr-2,2mem_BtPs_30hr-3,2mem_BtPs_30hr-4,2mem_BtPs_35hr-1,2mem_BtPs_35hr-2,2mem_BtPs_35hr-3,2mem_BtPs_35hr-4,2mem_BtPs_40hr-1,2mem_BtPs_40hr-2,2mem_BtPs_40hr-3,2mem_BtPs_40hr-4,2mem_BtPs_45hr-1,2mem_BtPs_45hr-2,2mem_BtPs_45hr-3,2mem_BtPs_45hr-4,2mem_CvPs_12pt5hr-1,2mem_CvPs_12pt5hr-2,2mem_CvPs_12pt5hr-3,2mem_CvPs_12pt5hr-4,2mem_CvPs_25hr-1,2mem_CvPs_25hr-2,2mem_CvPs_25hr-3,2mem_CvPs_25hr-4,2mem_CvPs_30hr-1,2mem_CvPs_30hr-2,2mem_CvPs_30hr-3,2mem_CvPs_30hr-4,2mem_CvPs_35hr-1,2mem_CvPs_35hr-2,2mem_CvPs_35hr-3,2mem_CvPs_35hr-4,2mem_CvPs_40hr-1,2mem_CvPs_40hr-2,2mem_CvPs_40hr-3,2mem_CvPs_40hr-4,2mem_CvPs_45hr-1,2mem_CvPs_45hr-2,2mem_CvPs_45hr-3,2mem_CvPs_45hr-4,3mem_Full_12pt5hr-1,3mem_Full_12pt5hr-2,3mem_Full_12pt5hr-3,3mem_Full_12pt5hr-4,3mem_Full_25hr-1,3mem_Full_25hr-2,3mem_Full_25hr-3,3mem_Full_25hr-4,3mem_Full_30hr-1,3mem_Full_30hr-2,3mem_Full_30hr-3,3mem_Full_30hr-4,3mem_Full_35hr-1,3mem_Full_35hr-2,3mem_Full_35hr-3,3mem_Full_35hr-4,3mem_Full_40hr-1,3mem_Full_40hr-2,3mem_Full_40hr-3,3mem_Full_40hr-4,3mem_Full_45hr-1,3mem_Full_45hr-2,3mem_Full_45hr-3,3mem_Full_45hr-4
12.57409471/450.9232253,4.830244,27.117783,19.620368,31.407429,16.219702,26.061442,16.462024,10.333698,7.857035,16.321724,22.446046,31.172387,12.870184,21.772355,10.1488,20.92098,17.622446,12.668632,21.158048,13.793949,7.717095,24.916245,24.733429,5.83633,5.264504,29.076081,22.618975,21.29268,13.181992,29.327167,24.55367,15.006908,18.82883,29.083514,18.079086,13.124328,19.208273,29.328575,29.699005,13.600084,19.42918,21.102628,14.846444,31.912784,11.407601,30.33249,30.727849,21.354389,7.361841,27.819678,34.272046,8.980152,15.147718,29.276221,27.816822,21.145552,9.818298,6.161685,27.23694,19.204263,8.536158,26.425865,31.639672,18.630609,11.562423,29.625219,29.283654,33.461413,19.88437,27.488205,10.310634,20.401345,10.290904,30.819322,19.254812,11.151655,12.368838,34.16189,18.239937,21.040846,14.116623,31.126838,23.975788,21.180164,11.245811,15.482721,23.59918,16.347266,15.789873,23.312349,19.044133,21.247676,9.742489,30.722631,11.396188,7.637468
8.029216685/132.8866568,28.94945,30.54543,25.71955,26.39411,15.66428,24.61707,28.77972,18.54129,16.7084,25.43805,22.64243,24.31721,24.02982,25.01655,33.59963,17.80656,16.4815,22.10337,31.65061,23.01858,25.01368,23.98303,37.206,18.14398,30.54867,24.66447,34.55814,24.59259,25.19687,21.90779,27.21408,18.90945,22.57933,29.14676,29.78383,22.22321,18.83333,21.90886,33.63259,24.86735,11.81246,29.79901,23.45184,24.54281,24.67431,35.89229,23.75843,21.62154,19.88596,26.25289,21.50496,24.19133,20.66989,30.31987,31.00146,19.94176,23.15262,24.35528,21.72668,19.79975,28.89394,22.65932,27.68793,25.14167,20.94211,22.93165,22.97141,18.21053,15.96359,23.4565,33.95191,22.83982,30.64753,22.30876,23.99485,17.68407,23.88575,22.49054,31.59978,12.91375,28.16552,26.27769,33.05459,16.22745,24.07778,23.4048,25.17083,19.66827,21.43831,24.84673,25.70408,22.9508,31.39603,23.44637,31.33016,24.13272
12.5849432/158.9891621,18.317182,26.048253,28.531126,32.294681,22.618152,26.954094,25.01774,21.460601,16.311402,26.191138,24.338168,32.385877,19.103844,25.884365,29.378568,27.035605,24.52775,20.39793,26.116505,24.701634,18.12554,25.006505,26.814466,19.736008,18.37831,27.57869,25.873897,19.7196,20.752319,27.388628,27.580225,26.728307,25.359782,28.281676,30.397578,23.840803,25.113532,27.464997,29.114032,27.606637,18.350416,31.348623,25.26724,33.041282,17.972971,28.441087,27.816403,28.861532,17.658816,26.977854,31.562015,29.762505,20.281681,28.26332,30.831887,23.360243,14.268589,26.430832,27.303664,25.543454,18.502914,25.614931,31.198199,25.14917,20.43567,28.104437,28.612113,33.976455,27.704414,26.623698,24.105946,26.725311,21.730538,31.184521,25.133356,21.8881,16.214645,31.70156,25.93412,26.343169,20.267174,30.577366,26.746537,31.573197,20.080963,31.327149,26.064193,27.720198,22.763942,33.168562,26.972903,27.518333,20.265334,30.931733,28.337079,28.481216
12.5789552/254.9684827,10.376496,23.253072,24.995014,28.476987,17.566648,22.998461,18.182143,14.472751,11.443072,17.104145,20.671796,28.36428,13.851533,20.355006,22.646683,23.155585,18.098991,13.915613,20.851187,16.88554,7.814147,21.774307,22.729734,10.098917,8.237109,25.218263,21.447053,15.985834,14.465927,25.611626,23.010844,19.663572,20.410352,25.508136,26.078322,16.507039,20.606251,25.552847,26.379076,15.921946,15.340699,27.178408,18.536137,29.019061,11.31246,26.456172,26.942652,23.337914,10.842706,24.189501,30.081711,19.19902,15.063918,25.620195,29.249605,19.535562,12.199253,23.9101,24.4227,20.656251,12.012896,23.09597,28.33228,20.602183,13.802349,25.753864,26.105059,30.066882,21.698832,23.913592,11.654211,21.637011,13.837866,26.144974,20.817179,15.100883,13.585848,29.54035,22.323957,22.645378,15.064757,27.517776,22.368106,27.329728,14.664597,28.846016,21.840182,19.92106,17.25735,30.422573,20.18181,22.724233,13.354302,27.396308,26.55487,21.246039
11.39905726/400.1470102,29.597047,17.987918,35.826021,30.125775,26.797614,24.650646,35.960747,40.304738,24.692344,34.56377,24.371048,34.400007,29.196114,15.103152,36.207538,38.890599,27.019737,25.941653,32.638128,40.052666,20.881144,22.993831,34.579357,33.184507,31.811941,21.816069,30.880296,30.978204,27.108392,22.229422,23.185405,33.048282,23.570928,22.895316,35.672466,30.460638,24.84329,25.539027,34.377104,32.794401,24.675491,17.848787,25.955602,27.796391,23.951455,20.843002,29.25074,32.199284,23.309878,39.743112,37.96882,39.323701,42.161477,30.335142,38.606574,27.109884,35.951957,29.950275,37.080262,40.558149,32.529256,39.130988,32.966096,50.867953,14.73432,27.309741,20.482892,38.477958,28.050328,24.628,23.004144,36.219107,26.163861,24.495239,33.243532,33.925432,29.142054,20.448072,31.012092,35.091649,27.248396,16.61996,37.297769,39.511841,32.752633,23.578145,33.482815,29.55436,26.740641,17.801387,36.673795,31.754585,45.805962,23.031364,32.685504,44.688793
12.90069813/96.96973681,9.487576,21.058085,16.762042,24.384557,14.229408,12.383167,7.882522,12.959205,11.553212,17.632845,15.114566,33.849556,14.698815,11.844908,9.359381,9.899644,14.452166,15.97036,13.638163,10.757422,5.46395,22.221459,10.624673,8.358615,7.012638,22.921847,13.517501,11.453172,8.195247,23.220153,8.924354,22.762635,9.048516,18.519752,5.330474,5.916241,9.327285,18.748264,9.95909,7.14273,5.759238,7.974085,12.918782,30.606996,10.2127,19.785336,12.798384,9.06068,5.674256,29.188818,16.521088,11.360524,15.366115,25.463631,10.972407,9.770026,17.597756,21.854403,15.425009,14.421588,9.400355,23.057718,16.832611,16.112203,4.319214,20.421053,16.910757,32.241939,14.852623,21.297145,8.812167,12.659467,4.989656,17.37183,11.158754,8.992317,14.851748,16.03153,6.420352,7.154775,14.037507,12.809025,8.983104,31.743077,16.193991,18.292729,7.182536,15.957681,18.385734,10.310781,11.181872,9.013818,16.750267,20.518226,17.939521,16.69148
8.153937676/214.0494817,23.805377,11.378343,20.95582,21.911611,18.622737,14.376148,15.949402,23.984362,19.605954,18.216908,14.413882,23.278515,23.462627,14.478524,13.938464,19.141157,15.336553,3.355233,16.294747,26.175916,17.630314,12.50937,16.551663,21.469686,27.961854,12.050091,15.891401,22.356859,17.627529,2.699531,15.375596,22.83542,15.371698,14.379365,13.305686,18.330932,14.784334,12.669974,15.44285,16.096991,15.161451,12.222639,18.416378,22.096188,14.923802,10.498818,12.487155,17.975153,16.639721,22.565334,19.509236,22.65523,19.976844,14.288985,17.591362,18.727606,20.430494,13.797795,18.634784,21.283246,18.798754,14.665737,15.558802,21.998051,2.3193,15.861604,12.297799,25.958824,22.529714,16.087885,15.481111,20.598395,18.547229,14.668492,16.622414,21.675584,21.366247,13.622229,15.365034,18.082406,19.389011,13.728989,15.987019,24.826494,22.765096,12.183389,3.888699,24.480131,21.866231,11.207081,16.422469,16.375987,28.459514,13.459774,16.997439,19.745357
6.240551109/529.1773797,26.2898897,36.2272008,39.3289224,37.5619609,26.2815802,49.0351714,44.8343736,37.2401892,24.6324953,52.3840435,44.479182,55.0579526,32.070614,52.3704497,55.8040231,47.0078121,35.4496064,54.14466,56.19797,51.7551252,33.8435652,48.4599464,59.045157,47.4973404,0.9263096,3.6653112,4.785229,5.7712386,0.8122328,6.1135565,3.5564172,5.1998784,2.4281879,5.3588495,5.6033989,7.4481274,0.879323,8.425143,10.1589022,2.7300692,0.7512253,6.4921716,3.0135887,5.4473747,1.2049425,6.3392346,3.4430191,6.146252,22.1933501,35.6283358,49.0063003,29.2419965,30.3435712,47.040168,57.676784,35.2599616,32.3070948,48.4670553,57.0025855,37.7665866,38.2729851,48.3565016,65.1043186,44.4589636,39.1673643,45.0878933,60.8589407,63.9398076,43.527343,44.7854483,55.1652926,43.8207668,23.8136833,39.2472199,48.2383827,32.3884684,23.6582714,48.1842809,50.0230927,38.3364078,26.4785161,52.0093585,55.769246,57.7211757,33.6019776,51.156087,57.1903135,64.2165887,35.2205157,56.376487,62.2135066,46.2007161,39.6230584,55.7364988,56.2379359,49.541581
8.590196726/87.00867214,24.960237,24.399173,26.578805,23.513907,18.123945,20.958873,23.522289,21.348369,18.032669,24.128311,21.148959,23.498031,15.876865,22.092307,22.14199,17.132247,16.902499,23.975863,23.930501,19.895104,11.859298,22.419456,21.365517,15.719819,25.812381,27.286085,24.776642,18.34593,22.058963,25.934188,22.891116,21.933475,16.219106,21.583224,21.205618,19.008454,15.719194,22.31301,20.597748,15.989857,16.913566,12.918384,19.600682,20.820374,17.063358,21.000033,18.236261,14.840701,19.72092,30.954566,26.917259,20.861987,19.872894,28.417987,23.869525,17.423026,12.893953,26.968871,21.476974,16.756734,12.630845,25.575361,21.508146,17.596692,4.429649,23.227045,21.052782,18.258718,11.044694,18.540106,16.30139,11.65787,22.812398,26.195328,23.775628,21.240666,20.413654,26.589294,22.686619,19.581743,19.193434,21.64105,22.863652,25.63356,21.802898,22.472908,21.197249,21.010725,17.514622,10.068866,23.105575,16.566489,21.533616,18.539473,22.634752,18.655833
12.56858089/548.9003498,2.580178,20.574472,21.236007,23.785815,9.557334,16.867694,11.483418,6.44782,6.904244,6.813808,16.660374,23.605275,8.986653,12.79707,7.612215,14.814377,7.333796,8.857493,15.14281,7.30431,4.228973,18.967671,18.415436,3.318666,2.26299,22.212425,16.562548,7.799274,9.601714,22.286183,14.801159,12.300133,10.550893,22.078682,13.297575,7.80103,10.939213,4.281965,21.969749,10.12219,11.526044,15.859609,9.709354,24.174363,8.042537,23.077074,23.229134,8.865967,3.449209,21.096105,25.976028,10.757615,10.008661,22.309976,25.476505,9.691522,5.961317,21.056534,20.403197,7.308704,6.121712,20.12517,23.705569,13.568163,7.881275,22.588613,22.02258,25.453911,10.624873,20.974577,4.049255,14.989664,6.147574,23.655023,14.18157,8.102798,8.684145,9.515781,11.545244,15.204221,9.886091,16.596412,16.285642,22.697145,8.487464,13.195481,17.341331,11.416587,9.55311,17.868361,13.755789,12.910147,6.50799,23.569232,22.658517,5.738733
8.706450304/401.0769416,24.572074,28.309543,27.681561,18.404765,16.940691,25.196738,27.182892,21.468788,14.207361,29.163534,17.359172,16.810107,9.495012,26.679637,23.996624,12.668717,12.9909,28.029667,22.66659,11.810248,4.692754,18.990628,17.249011,8.529752,24.778564,31.753932,27.115097,16.906525,16.523878,28.099297,25.352417,18.301613,12.94614,20.866728,19.025859,13.081431,10.756961,19.891829,17.02728,10.743875,14.642976,7.372134,14.582808,12.945309,11.421229,18.635873,13.106239,7.981681,18.804773,36.15863,24.654169,18.981583,11.422415,25.458183,18.654196,14.74506,5.089504,25.028274,16.404738,12.867659,5.179019,19.694387,13.412583,9.822008,2.038711,14.16964,12.403229,8.102892,1.369406,8.371989,7.80922,2.867113,21.00185,35.547059,31.681481,20.397405,17.789105,33.999007,26.738959,19.034224,16.073839,24.870474,27.801335,20.470605,17.460978,23.314372,21.451528,17.14672,13.638591,2.168458,20.676421,11.645925,16.028416,15.033127,17.576604,13.375088
2.506335449/133.0509199,13.52464,16.705028,21.127734,22.188294,19.065024,20.258909,24.708736,22.781187,18.568405,27.556335,27.713204,34.154285,22.596814,27.459482,29.87233,25.094543,25.219788,32.786581,34.42947,29.974454,23.765672,37.415346,35.846982,27.103026,18.34381,24.56743,21.741091,15.490469,32.19366,50.472325,37.766848,33.588249,38.485182,49.729693,37.691853,24.936735,37.938978,52.840636,40.353922,25.464872,38.730564,40.02842,38.916484,44.11579,29.650492,49.590326,37.046576,34.90578,16.459723,32.011286,29.731483,22.240099,35.467272,44.66442,43.406418,30.841666,30.031133,44.006616,42.456257,33.388814,37.034948,47.153663,51.052819,45.993872,36.539639,50.831261,50.843963,69.870653,47.981161,49.787114,47.186211,41.943677,13.809658,20.917489,18.46241,15.904305,38.121211,24.024145,23.677789,35.891762,35.496696,22.470362,30.537752,57.272359,45.030537,24.688996,31.644668,57.390831,43.434058,32.42096,35.032293,38.941557,42.447224,34.486194,40.855198,44.566911
17.06168216/179.056175,7.768943,5.337009,8.66632,4.685563,15.150446,4.320322,9.016063,4.865981,3.320798,7.601797,3.982343,7.469179,5.25917,8.490724,5.663919,5.423466,12.952362,6.923607,10.579227,3.511668,2.74792,5.465709,4.179994,3.061116,5.534363,11.280186,5.995842,6.925841,5.643747,9.610591,6.412831,8.891932,3.744518,6.480841,5.731648,2.527789,5.715349,8.424852,4.753128,5.74118,11.585265,1.807492,8.339722,8.648371,4.709032,5.526038,3.56545,6.130752,3.742718,13.94268,8.020147,7.807696,5.705489,12.49179,5.234588,6.58692,3.780029,11.094312,8.47316,8.065329,2.524139,13.263418,11.678943,6.403064,1.1218,7.757421,3.932176,3.247412,3.949588,2.645936,3.451834,3.646965,4.695608,10.322547,4.326889,4.818364,3.934157,4.728409,4.60372,8.56287,5.230756,3.638252,4.795417,6.616174,5.712887,4.760115,10.671176,4.695074,6.311279,1.600881,13.114883,6.805035,5.154315,3.437189,5.459506,5.447762
8.217979806/238.0936337,25.509365,15.162115,21.142387,20.682795,24.666113,14.935001,19.227693,29.207987,19.158385,20.071722,16.098899,20.935325,21.942662,15.76547,18.061993,22.400318,21.089947,17.632275,19.573223,28.35071,15.949844,17.198657,20.009293,18.564433,27.207328,16.819452,20.2992,24.485141,20.000671,15.460433,19.092167,19.43032,18.168016,17.171024,19.081971,21.529534,18.019089,15.271249,18.723014,19.925358,20.618906,11.731314,17.658082,19.529548,16.653532,14.061871,15.81568,19.563452,17.747949,27.246908,22.353671,29.203856,23.427126,18.865439,19.423435,20.702866,20.591929,18.232002,18.694334,21.741425,19.007811,19.990736,20.556671,27.463609,10.601124,18.676258,16.103492,20.32711,21.441486,17.301462,15.606234,21.517521,19.855333,17.171445,17.939797,26.151279,21.899593,15.052046,16.521328,22.275029,20.410695,14.64276,19.441284,23.325791,24.631624,14.589687,18.950633,19.374518,23.778114,10.733447,19.927235,20.247449,29.05981,15.346791,18.781259,25.962172
1.732388476/147.0665852,11.228483,14.509202,17.786095,17.381036,13.283077,15.560302,19.296725,15.56842,12.480597,20.987699,21.194062,23.614035,14.208915,20.010041,21.758984,19.543936,17.369932,26.014943,24.911382,20.761516,15.121172,27.795367,27.476425,20.758216,9.911016,12.710235,13.605405,10.38804,15.893905,25.488861,20.841256,20.30324,19.151566,25.114912,21.133802,14.763483,19.223676,30.035909,23.359878,15.717554,19.664156,24.815997,22.648431,22.64707,17.854083,28.769467,23.364017,19.556296,13.433327,23.558851,23.329631,18.080445,18.144925,28.771947,27.963298,21.496364,18.552218,29.203788,28.74724,21.771324,19.988214,31.604756,33.414996,28.136438,21.509177,33.308943,33.905837,46.082938,25.370116,35.421685,34.026008,32.555982,10.025024,15.966254,15.416003,12.973571,17.765978,17.936877,18.261468,20.856445,17.229925,16.816014,23.226326,28.575622,21.591479,18.549316,24.084659,29.027748,21.657822,27.773694,24.94638,22.919858,22.919,21.975456,26.673915,27.160992
5.562286203/303.8871076,17.48657,20.8887,11.96778,15.16651,12.05137,20.3004,11.81006,12.65439,11.29913,21.17846,19.70905,16.61813,13.17339,19.37134,15.42185,23.95401,12.12609,25.40724,13.60441,15.6418,11.66936,23.46132,16.11304,13.39255,14.95857,21.2403,12.12355,16.09205,12.68607,19.25607,10.73611,14.11972,14.53145,17.92232,11.86101,14.51177,15.3504,19.39886,15.47573,16.24514,12.50933,22.34191,11.08772,14.81706,11.77068,20.04482,13.45294,23.97775,12.50049,20.74175,11.98813,19.57341,16.47949,23.24782,12.53818,23.00205,16.55845,20.55464,10.93118,22.98791,14.42554,24.8201,13.20181,19.23882,14.27356,23.38352,18.13975,17.11654,14.59821,23.30226,13.82171,23.46886,19.16412,20.75793,13.16224,11.97343,14.83594,20.00567,13.23526,21.89677,13.77377,19.21947,13.64434,14.96935,17.78492,21.20769,10.58681,15.39598,15.84269,22.84825,11.36009,16.27429,15.34856,20.76957,10.64756,16.98835
5.556311683/301.8891537,17.62974,21.09023,12.0992,15.34805,12.15568,20.47071,11.92464,12.78211,11.35463,21.3172,19.91531,16.83681,13.30539,19.53176,15.57889,24.2057,12.31572,25.75817,13.84054,15.88255,11.81243,23.72926,16.40731,13.49362,15.14828,21.52254,12.2857,16.22609,12.83294,19.35769,10.82963,14.35248,14.76628,18.10117,12.01581,14.66776,15.55036,19.59568,15.65151,16.38341,12.70554,22.60636,11.20196,15.06143,11.94382,20.27368,13.61237,24.23157,12.6392,21.07335,12.08667,19.7852,16.64998,23.43602,12.66806,23.25768,16.66617,20.80141,11.04685,23.22094,14.56496,25.09706,13.32788,19.44472,14.42846,23.69796,18.31606,17.43118,14.77978,23.52427,13.97923,23.77154,19.35464,20.95861,13.31577,12.05443,15.04917,20.2322,13.44193,22.16256,13.79636,19.41335,13.85634,15.20765,18.051,21.36857,10.66845,15.62547,15.9122,23.04552,11.46827,16.50422,15.54351,20.99951,10.80478,17.15424
1.49101584/129.0196617,12.857963,12.835441,16.842228,17.323535,15.692675,14.315886,16.878137,14.81224,13.345166,18.543402,16.836988,21.473656,14.067318,17.563897,18.144352,17.790171,17.417411,21.150289,20.365913,17.160137,15.052803,22.789917,20.982244,16.670882,13.081562,12.437813,14.301218,12.901654,12.48638,15.877314,15.30117,18.477641,12.40031,15.327644,15.308625,13.393207,13.60812,15.860136,15.82892,15.225113,14.980634,13.241964,17.151504,20.725132,13.701768,16.311808,15.840676,16.594215,10.419389,15.51195,15.160175,13.147955,15.223968,20.41207,20.11794,17.526714,14.478786,21.609536,21.82496,18.045401,15.501077,23.462952,24.304087,22.942687,15.565571,24.730216,24.045643,28.440326,20.016058,25.057312,24.631659,24.025595,9.475676,13.45859,12.564589,10.998167,11.794569,15.381841,13.500549,15.854207,10.995842,14.114626,16.622917,20.564035,13.655419,15.116967,16.606331,19.633246,15.917373,13.091911,18.41053,14.95351,16.417774,16.032906,21.004983,18.843937
12.56805688/354.9436993,6.044675,17.609155,18.857521,21.306418,5.368603,8.665855,11.629574,8.350746,7.622181,9.264467,15.108489,21.045574,9.514681,12.411446,11.101686,11.320753,6.953672,8.992214,14.779356,10.847874,5.69768,12.895081,16.759503,4.879669,2.951823,18.998534,15.678831,7.184831,9.949483,19.322585,16.926541,13.329942,10.579366,16.066867,11.750936,9.428704,13.852821,19.359991,19.788145,10.310543,9.523471,14.104158,12.929321,21.719228,7.343819,19.88112,20.415392,12.845131,6.021674,18.294468,23.010069,9.739106,9.784389,19.36166,22.497312,13.137278,5.284294,18.10679,18.470669,10.419406,6.61089,17.420574,21.354302,13.345477,9.096082,19.53555,19.601061,22.599374,13.117485,18.025361,8.864527,8.671538,8.652638,19.970499,15.332743,8.776279,9.174565,8.269002,12.283027,10.523955,10.281628,14.473754,12.652343,20.390613,8.177022,14.018217,16.093734,13.04717,8.661507,17.834938,11.946934,14.258919,6.881963,14.391649,20.22337,7.188262
8.685041729/367.1060514,13.3056866,28.1434004,23.8657295,15.2340777,8.0332075,31.2606931,25.8944713,14.291382,8.9599266,30.2972265,19.598964,13.5747588,7.9255824,31.4765511,22.4008553,11.8914446,6.530551,28.2372864,23.9479335,10.3215942,4.6433815,21.961112,18.5345896,7.2310228,14.2010652,29.3803308,23.5898448,10.8089159,8.4878736,26.6755061,27.1577089,15.3610847,9.9008137,24.2531382,18.9974054,12.9054623,9.3062885,22.5034583,17.9162861,9.1181715,7.8039175,17.4041266,20.1252133,13.4708315,7.0004399,24.656721,15.9618708,8.2084922,12.3656159,30.0067464,17.4713189,12.2240314,7.5719774,24.6295994,15.8080689,13.7809698,4.3074057,27.3392512,18.8955029,12.0203776,5.4810511,22.6963323,16.2454557,8.3871982,0.4307674,18.6763498,14.4587561,9.1645213,1.1707877,14.4720984,11.5506614,5.718604,12.9894674,32.0680154,27.5258514,11.8890545,10.9701794,33.3442616,26.8380119,14.4237799,11.3099595,32.0645878,25.7320063,15.4914408,9.7794253,27.8821327,25.7351591,15.2941733,9.3586377,12.7042226,25.6096159,9.4581638,10.65302,21.2541927,14.9640148,9.7109445
3.229595159/147.0666194,11.38045,16.93172,21.70303,22.2862,23.68017,24.90523,33.23301,25.88408,23.73314,38.45314,38.90778,39.56498,29.63418,38.47249,40.62725,31.24392,31.05048,49.63512,44.88695,32.98418,38.62735,55.10242,52.40979,35.73837,17.74658,24.9936,26.55816,19.78574,23.69882,38.45369,38.54872,43.35969,29.32074,33.90755,38.31311,28.87991,25.21232,38.43231,39.49935,32.08628,27.84198,29.18114,41.04404,46.13263,25.38216,37.88548,38.59027,34.0442,13.53055,36.03851,33.46446,22.44774,29.05626,44.93609,41.32038,28.62426,32.95132,45.20969,43.20127,29.87131,35.14682,47.53198,48.82251,35.78805,33.09733,48.58791,46.76797,55.76718,36.86977,47.89808,44.52195,38.38329,15.62901,27.82916,22.29863,19.37097,24.82611,39.61744,33.89565,32.1429,24.91797,36.08531,45.22908,46.17118,32.75046,42.84539,46.37945,47.15841,34.43378,38.08665,47.38151,33.81372,36.74353,46.84078,52.68252,41.33569
12.55994284/452.9211523,2.695173,17.584355,18.308967,20.390011,4.944929,12.504963,10.519884,6.747169,5.358505,10.455922,14.518514,20.154441,8.29491,12.092017,6.631179,13.438745,6.383864,8.191536,13.545995,8.619102,3.950907,16.209809,16.129764,3.555987,2.720145,18.912155,14.67532,6.678534,8.099694,19.075888,13.354508,11.298437,8.318774,18.899615,13.90607,8.452907,12.321455,19.148718,19.453453,8.747607,7.116708,13.701286,9.310462,20.763074,7.355162,19.697693,19.911597,11.333283,3.528357,18.096642,22.412296,8.208003,9.632666,19.031215,21.902745,11.994188,6.356058,17.936779,17.751767,7.789617,5.527615,17.166422,20.510467,11.926871,7.561461,19.299256,18.959569,21.744771,10.568748,17.869657,4.140918,13.071694,5.903145,19.649499,9.756422,7.221116,6.596514,10.909463,10.054297,13.439955,9.055467,15.682226,12.096344,19.474453,8.461376,7.384582,12.198113,10.803882,7.441531,15.209754,11.372654,10.300514,6.254276,20.354354,19.54649,4.883017
8.608313284/149.0457322,21.468567,20.309357,23.075001,22.291595,18.541994,17.586097,20.084832,21.550165,16.043253,20.194559,18.096014,22.386925,14.017497,18.636415,18.639368,17.198128,17.355604,20.240429,20.586674,18.090658,10.171741,18.649952,18.415122,14.051009,22.746088,22.383868,20.727013,18.375897,19.227491,21.302128,19.881628,19.486431,16.709574,17.727495,17.912076,17.161627,15.348918,18.253862,16.989013,15.90227,17.703046,10.945096,17.12591,19.895262,15.381759,17.594944,15.340448,13.999683,18.038676,25.721496,22.921036,21.162941,16.177289,22.381811,19.256432,17.25643,10.597941,20.589651,18.339031,16.02264,10.073603,19.311462,18.336642,17.004189,7.314645,16.779077,16.504116,16.048664,9.757741,12.803718,12.370197,10.699078,20.040751,23.586046,20.400054,19.64202,18.002852,20.811834,18.411634,18.96427,16.84559,17.07674,19.101231,23.152997,18.36172,17.310845,17.940042,19.465982,16.573746,8.686864,19.59773,16.63113,19.529331,15.856861,18.421215,18.365994
8.612883713/85.02935238,18.540259,20.625862,20.808185,18.479442,14.104458,18.571843,19.327155,17.353471,13.963452,21.066105,17.089389,18.926608,12.842051,19.118959,17.643942,12.651483,13.314191,20.252204,19.321064,15.188135,8.884838,19.015883,17.429146,12.283052,20.168373,22.186553,19.4148,14.523784,16.792484,20.736549,19.210895,16.708394,12.804117,18.417895,17.237918,14.844245,11.745069,17.764536,16.373628,12.084229,13.553328,10.722033,15.619465,16.616823,13.504851,17.895459,14.796903,10.523998,15.42542,26.846767,21.838765,15.965538,14.289376,21.824034,18.802678,13.236716,9.047536,21.117773,16.663303,12.215345,8.764913,19.353216,17.038899,12.667676,4.59973,16.666652,15.731262,13.416507,7.452201,13.050557,11.864092,8.125402,17.816143,22.5141,19.490219,16.370168,15.567496,20.671233,17.837572,14.612617,15.03002,17.927419,18.594059,19.800437,16.173444,18.23425,17.232857,16.914476,13.608858,8.452763,18.31376,12.599477,17.09042,15.88241,17.870847,14.28921
3.46334252/297.0665324,1.3633737,0.7437684,0.7449507,1.0347625,0.6220396,0.6862915,0.7381944,0.8606033,0.6588345,0.7902951,0.6898268,1.1632136,0.518656,0.680889,0.6779402,0.9650199,0.5933776,0.6543255,0.9384808,0.7668841,0.5768383,0.7074835,0.6959074,2.3357926,1.6829015,1.7242127,0.8372864,0.6364481,1.9312635,1.601946,2.4588828,2.6213226,0.9096158,1.4612081,1.8210519,0.8131964,1.6464117,0.6470771,1.1177412,1.2673095,0.8095809,0.7295282,1.1450619,3.1865874,0.5087332,1.0169155,0.7454509,0.7239155,13.2538904,22.8421158,21.0979199,13.1558773,11.0702723,16.8101653,17.8116196,10.9877479,9.2322044,1.8051338,15.5219844,9.6135936,8.4732172,13.7711482,14.1289623,8.7040155,5.6274727,12.4035925,11.3763149,12.2688036,7.461014,10.9034591,10.8905025,6.1867897,0.6820327,0.7407114,0.6809781,0.5772081,0.6329398,1.6480289,1.2261434,1.1476734,0.5532985,2.1189538,1.6969595,1.116664,0.5599782,1.8146198,1.8698358,1.2703276,0.8098135,0.7187259,2.7997098,0.6996614,0.6023278,1.7050951,2.6596939,0.6244426
